Running SF45/B LWNX driver.
Product: SF45
Firmware: 1.2.1
Serial: S45-15868
0.93 m 89.39 deg
2.39 m 86.7 deg
1.18 m 81.29 deg
3.04 m 69.14 deg
4.86 m 51.15 deg
654.36 m 33.14 deg
654.36 m 15.15 deg
654.36 m -2.83 deg
5.63 m -20.83 deg
4.8 m -38.83 deg
0.01 m -56.84 deg
2.28 m -72.59 deg
1.0 m -82.04 deg
3.56 m -85.64 deg
3.59 m -89.83 deg
3.57 m -88.04 deg
3.33 m -84.44 deg
1.39 m -75.43 deg
1.23 m -60.14 deg
4.62 m -42.14 deg
5.49 m -24.14 deg
654.36 m -6.13 deg
654.36 m 11.4 deg
654.36 m 29.39 deg
5.9 m 47.4 deg
3.48 m 65.85 deg
2.86 m 78.45 deg
2.78 m 83.85 deg
2.73 m 89.39 deg
2.72 m 89.39 deg
2.76 m 85.8 deg
2.84 m 79.49 deg
3.3 m 66.44 deg
5.47 m 48.45 deg
8.43 m 30.9 deg
654.36 m 12.9 deg
654.36 m -5.08 deg
5.95 m -23.08 deg
4.4 m -41.09 deg
4.16 m -59.09 deg
3.46 m -73.94 deg
3.35 m -82.49 deg
3.34 m -86.09 deg
2.08 m -89.83 deg
3.12 m -87.58 deg
3.36 m -83.98 deg
3.51 m -74.09 deg
4.24 m -57.89 deg
4.28 m -39.89 deg
5.8 m -21.89 deg
654.36 m -3.89 deg
654.36 m 14.1 deg
7.68 m 32.09 deg
4.95 m 50.1 deg
3.17 m 67.65 deg
2.8 m 79.8 deg
2.77 m 84.3 deg
2.75 m 89.39 deg
2.75 m 88.95 deg
2.76 m 85.35 deg
2.8 m 78.14 deg
3.19 m 64.19 deg
4.76 m 46.2 deg
7.48 m 28.2 deg
654.36 m 10.2 deg
654.36 m -7.79 deg
654.36 m -25.79 deg
4.81 m -43.79 deg
3.35 m -61.79 deg
3.79 m -75.74 deg
3.32 m -82.94 deg
3.07 m -86.54 deg
3.07 m -89.83 deg
3.12 m -87.13 deg
3.84 m -83.09 deg
3.82 m -72.28 deg
3.78 m -55.19 deg
5.25 m -37.19 deg
654.36 m -19.19 deg
43.04 m -1.19 deg
654.36 m 16.34 deg
5.37 m 34.8 deg
3.91 m 52.8 deg
2.88 m 69.9 deg
2.79 m 80.7 deg
2.79 m 84.75 deg
2.8 m 89.39 deg
2.79 m 88.49 deg
2.79 m 84.89 deg
2.8 m 76.79 deg
3.2 m 61.95 deg
11.52 m 43.5 deg
6.27 m 25.5 deg
654.36 m 7.95 deg
654.36 m -10.04 deg
654.36 m -28.04 deg
5.0 m -46.04 deg
3.77 m -64.04 deg
3.27 m -77.09 deg
3.95 m -83.39 deg
3.86 m -86.99 deg
3.77 m -89.83 deg
3.91 m -87.13 deg
3.33 m -82.19 deg
3.08 m -70.48 deg
4.48 m -52.94 deg
7.21 m -34.94 deg
654.36 m -16.94 deg
654.36 m 1.04 deg
7.88 m 19.04 deg
5.19 m 37.05 deg
12.02 m 55.05 deg
3.17 m 71.25 deg
2.8 m 81.15 deg
2.8 m 85.2 deg
2.81 m 89.39 deg
2.81 m 88.05 deg
2.81 m 84.45 deg
2.93 m 74.99 deg
3.72 m 59.25 deg
4.91 m 41.25 deg
7.05 m 23.25 deg
654.36 m 5.25 deg
11.66 m -12.29 deg
7.98 m -30.73 deg
4.81 m -48.73 deg
3.85 m -66.74 deg
3.13 m -78.89 deg
2.72 m -84.29 deg
2.64 m -89.83 deg
2.47 m -89.83 deg
2.85 m -86.69 deg
3.23 m -81.28 deg
3.66 m -68.68 deg
4.47 m -50.69 deg
7.38 m -32.69 deg
654.36 m -14.69 deg
654.36 m 3.3 deg
7.4 m 21.3 deg
8.49 m 39.3 deg
4.08 m 57.3 deg
3.37 m 73.05 deg
3.29 m 82.05 deg
2.86 m 85.65 deg
2.83 m 89.39 deg
2.96 m 87.59 deg
3.29 m 83.55 deg
3.33 m 73.64 deg
4.05 m 56.55 deg
5.12 m 38.55 deg
7.12 m 21.0 deg
654.36 m 3.0 deg
654.36 m -14.98 deg
7.67 m -32.99 deg
4.68 m -50.98 deg
3.73 m -68.54 deg
3.39 m -79.79 deg
3.31 m -84.74 deg
3.28 m -89.83 deg
3.28 m -89.38 deg
3.31 m -85.79 deg
3.4 m -79.48 deg
3.7 m -65.98 deg
4.96 m -47.99 deg
7.22 m -29.99 deg
654.36 m -11.98 deg
654.36 m 5.55 deg
7.47 m 23.55 deg
4.95 m 41.99 deg
11.1 m 59.99 deg
3.47 m 74.85 deg
3.3 m 82.5 deg
3.29 m 86.1 deg
3.29 m 89.39 deg
3.3 m 87.14 deg
3.31 m 82.64 deg
3.52 m 71.85 deg
10.8 m 54.3 deg
5.23 m 36.3 deg
7.16 m 18.75 deg
654.36 m 0.75 deg
11.06 m -17.23 deg
7.06 m -35.24 deg
4.93 m -53.23 deg
3.89 m -70.34 deg
3.41 m -80.69 deg
3.37 m -85.19 deg
3.35 m -89.83 deg
3.36 m -88.94 deg
3.4 m -85.34 deg
3.47 m -78.13 deg
4.3 m -63.74 deg
5.49 m -45.74 deg
8.19 m -27.74 deg
39.94 m -9.74 deg
654.36 m 8.25 deg
6.28 m 26.24 deg
4.29 m 44.24 deg
3.79 m 62.24 deg
10.56 m 76.2 deg
3.38 m 82.95 deg
3.34 m 86.55 deg
3.29 m 89.39 deg
3.36 m 86.7 deg
9.76 m 81.74 deg
3.68 m 70.04 deg
4.06 m 52.05 deg
5.3 m 34.05 deg
654.36 m 16.04 deg
654.36 m -1.48 deg
10.3 m -19.48 deg
6.52 m -37.93 deg
4.71 m -55.93 deg
3.96 m -72.14 deg
3.41 m -81.59 deg
3.36 m -85.19 deg
3.39 m -89.83 deg
3.38 m -88.48 deg
3.37 m -84.88 deg
3.55 m -76.34 deg
4.23 m -61.04 deg
5.5 m -43.04 deg
654.36 m -25.49 deg
39.2 m -7.04 deg
654.36 m 10.5 deg
6.23 m 28.49 deg
4.55 m 46.49 deg
3.63 m 64.5 deg
3.46 m 77.55 deg
3.35 m 83.85 deg
3.35 m 87.0 deg
3.4 m 89.39 deg
3.33 m 86.24 deg
3.5 m 80.39 deg
3.74 m 67.79 deg
4.42 m 49.8 deg
5.42 m 31.8 deg
10.1 m 13.79 deg
654.36 m -4.18 deg
654.36 m -21.73 deg
6.11 m -39.74 deg
4.54 m -58.18 deg
3.84 m -73.49 deg
3.71 m -82.04 deg
3.41 m -85.64 deg
3.4 m -89.83 deg
3.48 m -88.04 deg
3.72 m -83.98 deg
3.84 m -74.53 deg
4.51 m -58.79 deg
6.08 m -40.79 deg
654.36 m -22.79 deg
38.59 m -4.79 deg
9.46 m 12.75 deg
5.72 m 30.74 deg
4.2 m 48.74 deg
3.53 m 66.75 deg
3.38 m 78.9 deg
3.34 m 84.3 deg
3.42 m 89.39 deg
3.44 m 88.95 deg
3.34 m 85.8 deg
3.36 m 79.04 deg
3.74 m 65.54 deg
4.23 m 47.55 deg
5.51 m 29.55 deg
654.36 m 11.54 deg
38.23 m -6.44 deg
9.12 m -24.44 deg
6.04 m -42.43 deg
4.49 m -60.43 deg
3.85 m -74.84 deg
3.72 m -82.49 deg
3.67 m -86.09 deg
3.66 m -89.83 deg
3.67 m -87.58 deg
3.72 m -83.54 deg
3.85 m -73.18 deg
4.48 m -56.54 deg
5.95 m -38.54 deg
654.36 m -20.54 deg
37.87 m -2.54 deg
9.74 m 15.45 deg
10.98 m 33.44 deg
4.08 m 51.44 deg
3.46 m 69.0 deg
8.67 m 80.25 deg
8.72 m 84.75 deg
9.59 m 89.39 deg
9.93 m 88.49 deg
8.93 m 84.89 deg
8.61 m 77.24 deg
3.72 m 62.85 deg
4.31 m 44.85 deg
6.06 m 26.85 deg
654.36 m 8.84 deg
654.36 m -8.69 deg
8.35 m -26.69 deg
5.57 m -45.14 deg
4.32 m -63.14 deg
3.81 m -76.64 deg
3.73 m -83.39 deg
3.69 m -86.54 deg
3.68 m -89.83 deg
3.71 m -87.13 deg
3.78 m -82.63 deg
3.98 m -71.38 deg
4.64 m -54.29 deg
6.97 m -36.29 deg
654.36 m -18.29 deg
37.21 m -0.29 deg
8.7 m 17.69 deg
